id,grammar,english,japanese
46,中級編,Being able to write English is much more important than being able to speak it in this job.,この仕事では、英語を書くことの方が話せる事よりずっと重要です。
47,中級編,I believe that my daughter will be as tall as I.,娘は私と同じくらい背が高くなると信じてる。
48,中級編,"When he was about to leave home, the telephone began to ring.",彼がちょうど家を出ようとしていた時、電話が鳴り始めた。
49,中級編,He has been given many chances since he began to work for A.,A社で働き始めてから、彼は多くのチャンスを与えられてきている。
50,中級編,My brother began to study mathematics very hard to be a scientist.,僕の兄は科学者になるために数学の猛勉強を始めた。
51,中級編,Did you still have a lot of homework to do when the others went to bed?,他の人が寝るとき、あなたにはまだやらなければならない宿題がたくさんあったのですか？
52,中級編,What language must I learn after I go to the university? / What language do I have (need) to learn after I go to the university?,その大学に進学した後、何語を学ばなければいけませんか？
53,中級編,I had to drink many cups of coffee to stay up late.,あの日は遅くまで起きてるために何杯もコーヒーを飲まなきゃいけなかった。
54,中級編,"When I see the teacher next time, I will speak better than (I did) today.",今度先生に会ったら、今日よりうまく話すぞ。
55,中級編,I can’t decide to carry out this plan without talking to you.,僕はきみと話さずにこの計画の実行を決めるわけにはいかない。
56,中級編,"When the journalist visited Japan for the first time, most houses were made of wood.",そのジャーナリストが初めて日本を訪れたとき、ほとんどの家は木造だった。
57,中級編,The man was told by his doctor that he had to stay in bed for a few days.,その男性はお医者さんに数日間寝ていなければならないと言われた。
58,中級編,What a fast runner you are to get there in ten minutes.,そこに10分で着くなんて、なんて走るのが速いんだろう。(runner)
59,中級編,To study biology will be very useful for you.,生態学を勉強することは、あなたにとってとても役立つでしょう。
60,中級編,"When the leaves turn red, I feel a little sad.",木の葉が赤く染まると、少し寂しくなる。
