id,grammar,english,japanese
95,現在完了進行形,It has been snowing since this morning.,今朝からずっと雪だ。
96,現在完了進行形,That boy has been swimming for over an hour.,あの少年は1時間以上泳いでいる。
97,that節,Do you know that he came to school yesterday?,あなたは彼が昨日学校に来たことを知っていますか？
98,that節,I hope (that) it will be fine next weekend.,週末は晴れればいいなあ。
99,that節,She believed (that) the man was their father.,彼女は、その男の人は彼らの父親なのだと信じていた。
100,受身1,Chinese is spoken in some countries.,中国語はいくつかの国で話されます。
101,受身1,Butter is made from milk.,バターは牛乳で作られます。
102,受身1,Who was this novel written by?,この小説は誰に書かれたのですか？
103,受身2,Is the star seen in Canada?,その星はカナダで見られますか？
104,受身2,What is this made of? – It is made of wood.,これは何でできているのですか？－木でできています。
105,受身2,This TV show is known to everyone (everybody).,このテレビ番組はみんなに知られています。
106,従属節を導く接続詞―1,"If it is fine tomorrow, we will go shopping.",もし明日晴れたら、私たちは買い物に行きます。
107,従属節を導く接続詞―1,"As she was very tired, she decided not to go to the sea.",とても疲れていたので、彼女は海に行かないことにした（決めた）。
108,従属節を導く接続詞―1,Please wash the dishes after you eat lunch.,昼食を食べたら皿を洗ってください。
109,間接疑問文,Do you know who that man is?,君はあの男の人が誰か知ってる？
110,間接疑問文,I wonder who is in that room?,あの部屋には誰がいるんだろう？
111,間接疑問文,He tried to understand what the word meant.,彼はその言葉が何を意味するのか知ろうとした。
112,疑問詞 + to不定詞,She didn’t know what to say.,彼女は何と言ったらいいのかわからなかった。
113,疑問詞 + to不定詞,Please tell me when to go home.,いつ家に帰ればいいか教えてください。
114,疑問詞 + to不定詞,Does your mother teach your wife how to cook?,あなたのお母さんはあなたの奥さんに料理の仕方を教えてくれますか？
115,形式主語のit,It is important to learn (study) Japanese.,日本語を学ぶことは大切です。
116,形式主語のit,It is impossible to master a foreign language in a month.,一カ月で外国語をマスターするのは不可能です。
117,形式主語のit,It is difficult for her to get up early in the morning.,彼女には朝早く起きるのが難しい。
118,SVO + to不定詞,I want you to go to the library.,私はあなたにその図書館に行ってほしい。
119,SVO + to不定詞,The mother told the children to do their homework.,お母さんが子供たちに宿題をやるように言った。
120,SVO + to不定詞,"I told you not to see her, didn’t I?",私、あなたに彼女と会わないでって言ったよね。
121,SVOC,We call the cat Pochi.,私たちはその猫をポチと呼びます。
122,SVOC,What does he call you?,彼はあなたを何と呼びますか？
123,SVOC,She keeps all rooms clean.,彼女はすべての部屋をきれいにしておく。
124,too～to⋯,She is too tired to talk.,彼女はあまりに疲れていて話すことができない。
125,too～to⋯,This coffee is too strong for my (younger/little) sister to drink.,このコーヒーは濃すぎて妹には飲めない。
126,too～to⋯,The sentence was too long for my (younger/little) brother to remember.,その文は長すぎて弟には覚えられなかった。
127,enough～to⋯,Taro and Hanako are not old enough to get married.,タロウとハナコはまだ結婚できる年齢ではない。
128,enough～to⋯,My uncle is rich enough to live without working.,叔父は働かないで暮らしていけるほど豊かだ。
129,enough～to⋯,This book is easy enough for children to understand.,この本は(十分に)やさしいので子供でも理解できる。
130,so～that⋯,You are so kind that everyone likes you.,あなたはとても親切なので、みんなあなたのことが好きだ。
131,so～that⋯,This movie is so long that few people can watch it till the end.,この映画は長すぎて、最後まで見ることができる人はほとんどいない。
132,so～that⋯,I was so excited that I could not sleep.,私はとても興奮していて眠ることができなかった。
