id,grammar,english,japanese
28,上級編,I wonder if taking a walk before breakfast keeps her healthy.,朝食前に散歩するので彼女は健康なのかしら？
29,上級編,"As he is very smart, he will be able to solve a question (that/which) you can’t.",彼はとても頭がいいので、君には分からない問題も解けるだろう。
30,上級編,She doesn’t think (that) it is necessary to go there.,彼女は、そこに行くことが必要だとは思わない。
31,上級編,He spoke to a woman (who was) walking on the street to ask her where the station was.,彼は駅がどこにあるか聞くために道を歩いている女性に話しかけた。
32,上級編,The girl whose mother was a teacher decided to study education at university.,お母さんが先生のその少女は大学で教育学を学ぶことを決めた。
33,上級編,Which is the house where [in which] he lives? ー That one (is).,どちらが、彼が住んでいる家ですか？ーあれです。
34,上級編,"Although he went to France to learn French, his French is worse than mine.",彼はフランス語を覚えるためにフランスに行ったけれど、彼のフランス語は私の（フランス語）より下手だ。
35,上級編,I want you to lend me the novel when you finish reading it.,君がその小説を読み終わったら（終わったとき）、僕に貸してほしい。
36,上級編,Have you already sold the bag (which/that) you bought only last month?,君は先月買ったばかりのカバンをもう売ってしまったのかい？
37,上級編,It will be very difficult [hard] to make her do this job.,彼女にこの仕事をやらせることはとても難しいだろう。
38,上級編,"When he got up in the morning, he felt disappointed to find (that) it was rainy.",彼は朝起きたとき、天気が悪いことを知って(見つけて)がっかりした。
39,上級編,The watch (which/that) he broke has just been fixed.,彼が壊した時計がちょうど直されたところです。
40,上級編,It is hard for her who stays up late every day to get up early in the morning.,毎日夜更かしする彼女にとって、朝早く起きるのは辛い。
41,上級編,There were several accidents on this road on the day when it rained a lot.,雨がたくさん降ったその日、この道でいくつか事故が起こりました。
42,上級編,Will the children who have never seen giraffes be surprised when they go to the zoo?,キリンを見たことがないその子供たちは動物園に行ったら驚くでしょうか？
43,上級編,"When she was asked how old she was, she answered that she was thirty although [though] she was actually forty.",何歳なのか聞かれたとき、実は40歳なのに、彼女は30歳だと答えた。
44,上級編,"As he [she] didn’t know how to cook, the child had to wait for his [her] mother to come home.",どうやって料理をするのかわからなかったので、その子はお母さんが帰ってくるのを待たなければならなかった。
45,上級編,The boy who [that] wanted to get a good mark on a test than anybody else in the class studied till late at night.,クラスの他の誰よりもテストでいい点を取りたいと思っているその少年は、夜遅くまで勉強した。
46,上級編,"Although [though] her mother wants her to be [become] a doctor, she has wanted to be a teacher since she was a child.",彼女の母親は彼女に医者になって欲しいと思っているが、彼女は子供の頃からずっと先生になりたいと思っている。
47,上級編,The coffee (that/which) my mother made smells very good.,お母さんが作ったコーヒーはとても良い匂いがする。
48,上級編,"When he was asked why he came home so late by his wife, he answered that he went to watch a baseball game with his colleagues.",妻にどうしてそんなに遅く帰宅したのか聞かれた時、彼は同僚たちと野球観戦に行ったのだと答えた。
49,上級編,The foreigner who came to Canada only last month asked me to give him [her] English lessons.,先月カナダに来たばかりのその外国人は私に英語のレッスンをしてくれと頼んだ。
50,上級編,"Finally, they decided to let their daughter marry the guy [whom/that] she had been going out with for six years.",ついに彼らは娘を6年間付き合っているその男と結婚させてやることに決めた。
51,上級編,A man whom I have known for over twenty years is going to quit the company [which/that] he now works for next month to change jobs.,私の20年来の知り合いである男性は、転職のために来月現在勤めている会社を辞める予定だ。
52,上級編,A friend of mine whose cousin lives in Germany says that he is going to go there this winter with his brother.,いとこがドイツに住んでいる僕の友人は、今年の冬弟と共にドイツに行くつもりだと言っている。
53,上級編,Have you ever met a girl who [that] cooks better than Satoko?,さとこより料理が上手な少女に会ったことがありますか？
54,上級編,The boy who was asked what he was doing by a teacher began to run as fast as he could [possible].,教師に何をしているのかと尋ねられたその少年はできる限り速く走り始めた。
55,上級編,The child whose parents worked played in a park to kill time after school.,両親が働いているその子供は放課後時間をつぶすために公園で遊んだ。
56,上級編,"When I told my mother that the curry (which/that) she had made was too spicy for me to eat, she said that she had never heard anybody say such a rude thing.",お母さんに、お母さんが作ったカレーが辛すぎて僕は食べられないと言うと、お母さんは誰かがそんなに失礼なことを言うのを聞いたことがないと言った。
57,上級編,The weather forecast says that it will be fine today in the town where it snowed yesterday.,昨日雪が降ったその町では、今日は晴れるだろうと、天気予報は言っている。
58,上級編,The park around which I run in the morning is visited by many people on holidays.,私が朝周囲を走っている公園は、休日には多くの人に訪れられる。
59,上級編,Didn’t your father tell you to keep the window closed [shut] while you were playing the violin?,お父さんは(あなたが)バイオリンを弾いている間、窓を閉めておくようにとあなたに言いませんでしたか？
60,上級編,"When his mother told him to keep his room tidy, he asked her why she didn’t tell his sister to do so.",母親が彼に部屋をきれいにしておきなさいと命じたとき、彼女はなぜ妹にはそうしろと言わないのかと彼女に尋ねた。
