id,grammar,english,japanese
75,初級編,Will you please play the flute for me? – Sure.,僕のためにフルートを弾いてくれるかい？－いいよ。
77,初級編,Do you know where my uncle went yesterday?,おじさんが昨日どこに行ったのか知っていますか？
78,初級編,My brother won’t let me use his (the) computer.,兄貴は僕にパソコンを使わせてくれないんだ。
79,初級編,The students (who are) taught by the teacher enjoy the class.,その先生に教わっている生徒たちは授業を楽しみます。
80,初級編,"You drank (had) too much tea, didn’t you?",君はお茶を飲み過ぎたね？
81,初級編,"Have you done your homework? – No, I haven’t.",もう宿題した？－まだしてない。
82,初級編,The dog ran much faster than we did.,その犬は、僕らよりずっと速く走った。
83,初級編,The baggage (luggage) was so heavy that she couldn’t carry it. / The bag was too heavy for her to carry.,その荷物はとても重くて、彼女は運ぶことができなかった。
84,初級編,The language spoken in the country is very difficult.,その国で話される言葉は、とても難しい。(分詞使用)
85,初級編,The train has just left.,電車はちょうど出発したところです。
86,初級編,They are going to leave for Europe in two weeks.,彼らは2週間後に、ヨーロッパに向けて出発する予定です。
87,初級編,"Are there any problems with this project? – No, there aren’t.",このプロジェクトには問題がありますか？－いいえ、ありません。
88,初級編,She will be busy tomorrow.,明日、彼女は忙しいでしょう。
89,初級編,Everyone (everybody) thought that the president was rich.,みんな、その社長がお金持ちだと思った。
90,初級編,This book is twice as long as that one.,この本は、あの本の2倍の長さです。
91,初級編,"Isn’t your key in the bag? – No, it isn’t.",君の鍵はかばんの中にないの？
92,初級編,Were you in your room last night?,あなたは昨夜自分の部屋にいましたか？
93,初級編,He stop watching the movie.,彼は映画を見るのをやめた。
94,初級編,My parents were disappointed at the result.,両親はその結果に落胆しました。
95,初級編,They serve very good food at the restaurant in front of my home (house).,うちの前のレストランでは、とてもおいしい料理を出す。
96,初級編,I felt it was raining outside.,私は外で雨が降っているのを感じた。
97,初級編,"The kid often comes here, doesn’t he (she)?",あの子はよくここに来ますね。
98,初級編,The explanation happened again.,説明がまた始まった。
99,初級編,Nobody believed what the student said.,誰もその生徒の言うことを信じなかった。
101,初級編,"Is your cousin a college student? – Yes, she (he) is.",あなたのいとこは大学生ですか？－はい、そうです。
102,初級編,Shall I turn off the light?,電気を消しましょうか？
103,初級編,When will the comic book be published?,その漫画はいつ出版されるのですか？
104,初級編,Children must (have to) go to bed before ten o’clock.,子供は10時前には寝なくてはいけません。
105,初級編,She went to bed without calling her parents that night.,その晩、彼女は両親に電話せずに寝た。
106,初級編,How many cookies did he eat? – He ate three.,彼はクッキーをいくつ食べましたか？－3つ食べました。
107,初級編,I wanted to be with you.,私はあなたと一緒にいたかった。
108,初級編,At first he thought (that) the story was true.,最初、彼はその話が本当だと思った。
109,初級編,Did anybody come while we were away (out)?,私たちが留守の間、誰か来ましたか？
110,初級編,I will buy two more books.,本をもう2冊買おう。
111,初級編,I have spent all my money.,私はお金を全部使ってしまった。
112,初級編,I don’t want to see this TV show.,このテレビ番組は見たくない。
113,初級編,How rude those people are!,あの人たちは何て無礼なのでしょう！
114,初級編,Please don’t be angry so much.,そんなに怒らないで。
115,初級編,What did they serve at the wedding party? / What was served at the wedding party?,結婚式では何（の食べ物）が出た？
116,初級編,She has been sleeping for more than one day.,彼女は丸一日以上眠っています。
117,初級編,This is the biggest building in town.,これが町で1番大きな建物です。
118,初級編,Leave nothing in this room. / Don’t leave anything in this room.,この部屋には何も置いていかないでください。
119,初級編,How many books can you put in this cabinet?,このキャビネットには何冊の本が入りますか？
120,初級編,I hope (that) it will be sunny tomorrow.,明日晴れるといいなあ。
122,初級編,"Which shoes do you want, these or those ones?",どっちの靴が欲しいの？こっち？それともあっち？
123,初級編,What is in the purse?,その財布には何が入っているんですか？
124,初級編,It is hard for me to get up at seven in the morning.,僕には朝7時に起きるのは辛い。（形式主語）
125,初級編,Canada is much bigger than Japan.,カナダは日本よりずっと大きい。
126,初級編,I won’t see my father again.,私は二度と父親に会わない。
127,初級編,He drank another glass of water. / He drank one more glass of water.,彼はお水をもう一杯飲んだ。
128,初級編,Did she read a book written in German?,彼女はドイツ語で書かれた本を読んだのですか？（分詞）
129,初級編,Leave me alone.,私を一人にしておいて。
130,初級編,We met in front of the station to have a meeting.,私たちは打ち合わせをするために駅前で会った。
131,初級編,How strong the coffee is!,そのコーヒーはなんて濃いのだろう！
132,初級編,The actor’s was known to everybody.,その俳優の名前はみんなに知られていた。
133,初級編,What time do your parents usually come home?,あなたのご両親は普通何時に帰宅しますか？
134,初級編,I was playing tennis with a friend then.,私はその時、友人とテニスをしていました。
135,初級編,Please don’t visit me after six in the evening.,夕方6時以降は私を訪ねてこないでください。
136,初級編,"Have you ever touched a insect? – Yes, I have.",あなたは虫に触ったことがありますか？－あります。
137,初級編,I don’t want you to come there.,私はあなたたちにはそこに来てほしくない。
138,初級編,Baseball is much more familiar than basketball in this country.,この国では、野球がバスケットボールよりずっと親しまれています。
139,初級編,Is this the cake (which / that) she made? – No it isn’t.,これは彼女が作ったケーキですか？－いいえ、違います。
140,初級編,Will they come to the school on time?,彼らは時間通りに学校に来るでしょうか？
141,初級編,What did you eat for lunch?,お昼ごはんに何を食べましたか？
142,初級編,He walked so slowly that she left him.,彼がとてもゆっくり歩くので、彼女は彼を置いて行ってしまった。(so～that…構文)
143,初級編,Remembering Chinese characters (Kanji) is difficult for the foreigner.,外国人にとって漢字を覚えることは難しい（動名詞）
144,初級編,I want you to be a good speaker.,あなたには話し上手になって欲しい。
145,初級編,How cute those dogs are!,あの犬たちは何てかわいらしいのでしょう！
146,初級編,Can I have another glass of milk?,もう一杯牛乳をいただけますか？
147,初級編,Where were these clothes made? ※clothesの発音に注意しましょう。 単数・複数とも同じ発音 [klóʊ(ð)z] です。,これらの服はどこで作られたのですか？
148,初級編,My boss has been studying English for two years.,私の上司は英語を二年間勉強しています。
149,初級編,"The lawyer looks very tired, doesn’t he (she)? – Yes, he (she) does.",あの弁護士はとても疲れているように見えますね？ーはい、そうですね。
150,初級編,Could you please tell me the way to the station?,駅への道を教えてくれますか？
